"TransactionAmount","TransactionDuration","LoginAttempts","AccountBalance","CustomerAge","TransactionType","Location","Channel"
"317.87","91","1","145.5","27","Debit","Detroit","Online"
"331.65","61","1","4172.57","41","Debit","Portland","Online"
"5.04","41","1","5558.36","56","Debit","Washington","ATM"
"214.54","247","1","11151.53","70","Credit","Detroit","Online"
"598.81","158","1","1415.52","57","Debit","Philadelphia","Branch"
"841.28","80","1","1103.64","26","Debit","Tucson","Online"
"38.15","108","1","303.68","26","Debit","Mesa","Online"
"1036.66","144","1","5541.57","58","Debit","San Antonio","Branch"
"124.72","105","1","6309.8","33","Debit","Oklahoma City","Branch"
"302.45","40","1","5133.61","78","Credit","San Antonio","Branch"
"208.04","273","1","9344.98","47","Debit","Louisville","Online"
"5.77","254","1","1117.97","23","Credit","Los Angeles","Branch"
"381.33","75","1","11835.35","56","Debit","Albuquerque","ATM"
"16.16","124","1","14401.17","50","Debit","Milwaukee","ATM"
"486.08","68","1","1748.69","18","Debit","Oklahoma City","Online"
"336.39","18","1","1000.46","21","Debit","San Antonio","Branch"
"997.43","118","1","6810.05","69","Debit","Seattle","Online"
"234.57","120","1","263.98","23","Debit","Chicago","Online"
"6.0","246","1","5442.76","30","Debit","Chicago","Online"
"1049.92","21","1","2037.85","80","Debit","Detroit","ATM"
"227.14","294","1","341.94","18","Debit","Charlotte","ATM"
"233.74","17","1","1066.59","66","Credit","Oklahoma City","Online"
"113.02","166","1","6077.96","69","Credit","Jacksonville","Branch"
"45.85","92","1","1659.15","20","Debit","Los Angeles","ATM"
"973.39","296","1","2042.22","77","Debit","Sacramento","Branch"
"514.95","142","5","421.93","41","Debit","New York","Online"
"415.5","141","1","10113.66","66","Debit","Memphis","ATM"
"265.76","92","1","4446.17","54","Debit","Philadelphia","Online"
"69.4","113","1","6452.77","80","Debit","Virginia Beach","Online"
"332.93","293","1","2788.2","35","Credit","Albuquerque","Branch"
"267.9","160","1","596.16","20","Debit","San Antonio","Online"
"496.03","265","1","12904.66","61","Debit","San Francisco","Branch"
"376.26","245","1","9062.4","37","Debit","Tucson","ATM"
"83.02","171","1","9009.56","36","Credit","Seattle","Online"
"93.26","72","1","1152.2","20","Credit","New York","Online"
"803.37","129","1","12168.37","68","Credit","Memphis","Branch"
"35.76","122","1","611.86","23","Debit","Charlotte","Branch"
"28.53","99","1","8670.53","62","Debit","Washington","Online"
"139.53","177","1","10098.86","53","Credit","Louisville","Online"
"307.57","285","1","5307.74","33","Debit","Detroit","Branch"
"60.65","53","1","1047.28","56","Credit","Tucson","Branch"
"74.86","125","1","6921.48","70","Debit","Nashville","Branch"
"117.97","137","1","1475.46","51","Debit","Kansas City","Branch"
"231.91","165","1","112.76","34","Debit","Memphis","ATM"
"126.21","268","1","5669.66","75","Debit","Baltimore","Branch"
"506.28","162","2","1309.95","53","Credit","Chicago","Online"
"304.35","36","1","4057.1","31","Debit","Houston","Branch"
"281.85","109","1","1585.98","22","Debit","Detroit","ATM"
"777.88","17","1","6825.55","31","Debit","Houston","Branch"
"119.18","96","1","5516.5","56","Debit","Los Angeles","Branch"
"177.19","43","1","5343.3","76","Debit","Chicago","Online"
"260.88","36","1","903.05","22","Debit","Denver","Branch"
"169.47","19","1","1806.16","24","Debit","Chicago","Online"
"73.23","14","1","787.74","26","Debit","Portland","Branch"
"1362.55","106","1","2429.68","29","Debit","El Paso","ATM"
"792.57","164","1","770.37","19","Debit","Baltimore","ATM"
"237.06","46","1","1182.77","71","Debit","Phoenix","Online"
"34.17","54","1","726.55","54","Credit","Philadelphia","Online"
"740.25","123","1","14464.3","41","Debit","Philadelphia","Online"
"453.54","82","1","12046.3","58","Debit","Albuquerque","ATM"
"300.47","100","1","7885.64","73","Debit","Jacksonville","Branch"
"110.93","201","1","1952.35","19","Credit","Virginia Beach","Branch"
"201.69","299","1","7328.52","59","Debit","Las Vegas","ATM"
"399.21","109","1","3210.39","59","Debit","Portland","ATM"
"1041.88","57","1","5726.2","78","Debit","Jacksonville","Online"
"630.36","52","1","1363.65","62","Debit","Mesa","ATM"
"10.94","245","1","1241.99","60","Credit","Philadelphia","ATM"
"215.9","235","1","7873.28","38","Debit","Los Angeles","ATM"
"1422.55","165","1","5674.32","79","Debit","Washington","Branch"
"226.37","141","1","9840.04","49","Credit","Louisville","Branch"
"444.89","101","1","10328.23","43","Credit","Las Vegas","Branch"
"280.57","24","1","293.24","25","Credit","Virginia Beach","Online"
"488.54","132","1","7486.63","52","Debit","Jacksonville","Branch"
"3.3","131","1","11385.37","50","Credit","Los Angeles","Branch"
"199.39","165","1","7264.79","69","Debit","Colorado Springs","Branch"
"20.36","75","1","2762.48","62","Debit","Tucson","Branch"
"113.64","32","1","6675.03","62","Debit","Detroit","Online"
"493.11","236","1","7432.99","53","Debit","Colorado Springs","Branch"
"307.41","14","1","1057.0","19","Debit","Los Angeles","ATM"
"11.18","161","1","5956.89","43","Debit","Atlanta","Online"
"313.82","151","1","7261.59","59","Debit","Tucson","Branch"
"51.0","107","1","4943.16","64","Debit","Seattle","Branch"
"140.98","100","1","8127.48","60","Debit","Memphis","Branch"
"288.04","63","1","1748.02","68","Debit","Denver","ATM"
"800.55","108","1","9660.22","31","Debit","Oklahoma City","ATM"
"485.54","143","1","6371.51","46","Debit","Houston","ATM"
"521.15","214","1","9442.47","54","Debit","Kansas City","ATM"
"321.79","61","1","5959.2","63","Credit","Raleigh","ATM"
"304.93","158","1","13531.22","65","Debit","Portland","ATM"
"432.08","145","1","11500.62","40","Debit","El Paso","ATM"
"694.2","72","1","1389.37","61","Debit","Milwaukee","ATM"
"116.86","171","1","6706.56","55","Debit","Louisville","ATM"
"386.81","149","1","7175.29","57","Credit","Detroit","Online"
"74.88","202","1","420.67","25","Debit","Atlanta","ATM"
"195.76","99","1","7323.53","75","Debit","Philadelphia","Branch"
"134.7","106","1","8395.85","50","Debit","Fort Worth","ATM"
"890.24","161","1","5140.93","33","Credit","Las Vegas","Online"
"361.27","180","1","7945.57","63","Debit","Omaha","ATM"
"131.56","42","1","5873.54","44","Debit","Charlotte","Branch"
"485.51","37","1","3074.45","76","Credit","Milwaukee","Online"
"547.87","131","1","6155.76","64","Debit","Columbus","ATM"
"457.3","15","1","8318.29","28","Debit","Virginia Beach","Online"
"506.24","64","1","230.09","58","Debit","Chicago","ATM"
"486.59","119","1","2513.56","57","Debit","Indianapolis","Branch"
"163.68","292","1","10090.05","41","Debit","San Diego","Branch"
"581.65","176","1","480.19","22","Debit","Boston","ATM"
"52.01","85","1","1120.88","48","Debit","Mesa","ATM"
"630.24","62","1","370.81","21","Debit","Boston","ATM"
"523.74","159","1","13498.55","43","Debit","Oklahoma City","ATM"
"705.6","124","3","14804.7","40","Debit","Phoenix","Branch"
"217.5","35","1","3057.4","46","Credit","Denver","Branch"
"91.48","141","1","14942.78","51","Debit","Fort Worth","ATM"
"5.25","49","1","14143.32","39","Debit","San Jose","ATM"
"54.03","161","1","6736.3","56","Credit","Milwaukee","ATM"
"736.73","10","1","3313.07","48","Debit","Memphis","Branch"
"368.91","14","1","829.71","54","Debit","Virginia Beach","Branch"
"33.06","170","1","1540.87","53","Credit","Fort Worth","Online"
"66.5","144","1","6820.23","32","Credit","Louisville","Online"
"177.08","85","1","13475.14","35","Debit","Las Vegas","Online"
"588.54","130","1","714.45","32","Debit","Portland","Branch"
"173.5","282","1","1306.91","21","Debit","Nashville","ATM"
"78.33","189","1","7255.33","56","Credit","Memphis","Online"
"40.66","156","1","1153.84","59","Debit","Louisville","Branch"
"97.22","55","1","6647.73","77","Credit","Atlanta","Branch"
"34.07","81","1","8709.77","22","Debit","Philadelphia","Branch"
"492.06","74","1","857.9","23","Debit","Fresno","Online"
"842.01","185","1","509.45","53","Credit","Virginia Beach","Online"
"73.55","158","1","2812.06","51","Debit","Atlanta","ATM"
"760.53","118","1","6179.91","57","Debit","Phoenix","Online"
"273.08","134","1","6609.3","26","Credit","Houston","Branch"
"371.69","143","1","3484.32","67","Debit","San Francisco","Branch"
"218.96","13","1","754.21","18","Debit","Seattle","ATM"
"227.39","65","1","751.09","18","Debit","Atlanta","Online"
"237.99","86","1","8510.09","39","Credit","Kansas City","Branch"
"186.6","13","1","1508.72","58","Debit","Washington","Online"
"341.15","148","1","511.37","18","Debit","San Jose","Online"
"434.58","215","1","12648.32","59","Debit","Memphis","ATM"
"312.88","44","1","233.21","54","Credit","Portland","Branch"
"75.15","154","1","1092.92","23","Debit","Boston","ATM"
"23.3","161","1","6711.15","59","Debit","Los Angeles","ATM"
"47.38","61","1","459.37","25","Credit","Seattle","Online"
"512.81","30","1","6994.34","79","Debit","Sacramento","Branch"
"488.15","168","1","7071.09","43","Debit","Louisville","Branch"
"12.82","156","1","9045.19","44","Debit","Fort Worth","ATM"
"66.9","129","4","5238.71","79","Credit","Charlotte","Online"
"535.91","22","1","9642.12","43","Debit","Las Vegas","Online"
"270.72","53","1","6263.96","26","Credit","Washington","Online"
"97.98","18","1","7460.33","72","Debit","Denver","Branch"
"196.08","98","1","4233.82","61","Debit","San Francisco","Online"
"251.18","246","1","8303.9","42","Debit","San Jose","ATM"
"44.52","205","1","314.28","28","Debit","El Paso","Online"
"178.87","180","1","5241.23","35","Debit","Baltimore","Online"
"1176.28","174","5","323.69","54","Credit","Kansas City","ATM"
"386.68","128","1","6863.06","46","Debit","New York","Branch"
"167.14","20","1","3877.73","76","Debit","Denver","Online"
"345.22","253","1","4046.58","69","Debit","Fresno","Branch"
"74.85","117","1","2409.73","72","Debit","Raleigh","ATM"
"671.73","54","1","5211.88","58","Debit","Washington","Branch"
"255.04","152","1","6217.86","45","Debit","Seattle","ATM"
"45.77","109","1","5978.12","25","Debit","Philadelphia","Online"
"329.69","66","1","1671.66","26","Credit","San Antonio","Online"
"362.04","198","2","8421.88","58","Credit","Philadelphia","Branch"
"11.92","52","1","14611.9","53","Debit","San Diego","Branch"
"47.42","28","1","8253.52","64","Debit","San Diego","ATM"
"35.99","129","1","4489.79","63","Debit","Miami","Branch"
"151.19","96","1","11903.82","37","Credit","New York","Branch"
"242.62","234","1","483.02","22","Credit","San Francisco","Online"
"48.72","17","1","816.08","21","Debit","Virginia Beach","Branch"
"43.46","80","1","578.06","25","Debit","Boston","ATM"
"1036.21","126","1","477.3","25","Debit","Omaha","Online"
"443.79","87","1","3133.85","53","Debit","Las Vegas","ATM"
"365.14","57","1","5894.09","68","Debit","Dallas","Online"
"757.41","37","1","9532.42","22","Debit","Los Angeles","ATM"
"20.54","72","1","5327.03","51","Debit","Fort Worth","Branch"
"475.36","105","1","2000.6","34","Debit","Phoenix","ATM"
"34.74","24","1","6827.57","56","Debit","San Francisco","ATM"
"689.54","93","1","1633.76","27","Debit","Oklahoma City","Branch"
"211.18","90","1","4069.17","73","Debit","Washington","ATM"
"211.36","286","1","7943.47","51","Credit","Fort Worth","Branch"
"744.41","107","1","8842.47","39","Credit","Houston","Online"
"61.43","170","1","1882.77","24","Debit","Phoenix","Online"
"167.44","82","1","12526.71","37","Debit","Mesa","Branch"
"361.46","83","1","4737.84","21","Debit","Nashville","Online"
"378.85","126","1","2300.53","78","Debit","Virginia Beach","Branch"
"241.11","55","1","12385.05","30","Debit","Columbus","Branch"
"131.93","13","1","4547.06","31","Credit","Fort Worth","Branch"
"20.28","213","1","2047.83","36","Debit","Oklahoma City","Online"
"415.88","170","1","10008.33","70","Debit","San Diego","Branch"
"49.99","139","1","2299.64","62","Debit","Omaha","ATM"
"1221.65","153","1","243.92","27","Debit","Denver","Online"
"100.66","144","1","14473.33","50","Debit","Dallas","Branch"
"485.54","148","1","1533.32","19","Debit","Louisville","Online"
"321.15","179","1","7005.05","46","Debit","Los Angeles","Branch"
"711.3","51","1","955.4","21","Debit","San Jose","Branch"
"12.23","139","1","7844.88","42","Debit","Houston","ATM"
"350.94","64","1","221.56","20","Debit","Colorado Springs","ATM"
"301.85","25","1","6586.19","54","Debit","Columbus","Online"
"29.34","30","1","3944.82","65","Debit","Louisville","Online"
"231.71","148","1","1127.98","27","Debit","Raleigh","Branch"
"179.43","244","1","2626.63","58","Debit","Oklahoma City","ATM"
"36.71","55","1","6459.38","48","Debit","Jacksonville","Branch"
"138.12","281","1","1649.69","53","Credit","Los Angeles","Branch"
"233.24","72","1","6939.23","33","Debit","Louisville","ATM"
"609.14","177","1","9033.87","39","Debit","Tucson","ATM"
"436.64","111","1","14365.18","31","Debit","Los Angeles","Branch"
"870.43","55","1","10115.18","29","Debit","Los Angeles","Branch"
"354.4","128","1","7358.65","74","Debit","Chicago","ATM"
"22.63","112","1","4438.03","53","Debit","Kansas City","Online"
"182.19","53","1","1176.1","26","Debit","Mesa","Branch"
"126.81","290","1","5427.98","26","Debit","Philadelphia","Branch"
"288.17","50","1","3653.11","37","Debit","Virginia Beach","Online"
"118.77","123","1","2104.82","55","Debit","Atlanta","Branch"
"651.82","166","1","1802.77","21","Debit","Indianapolis","ATM"
"66.65","33","1","3559.96","37","Debit","Detroit","ATM"
"98.53","166","1","3564.8","69","Debit","Denver","Branch"
"138.95","30","1","6752.92","71","Debit","Washington","Online"
"33.89","177","1","1444.75","26","Debit","Nashville","Branch"
"23.71","164","1","10788.89","58","Debit","Atlanta","Branch"
"1830.0","238","1","2235.7","55","Debit","San Antonio","Online"
"26.06","283","1","12893.63","65","Debit","San Diego","ATM"
"17.07","44","1","2798.15","27","Debit","Los Angeles","Branch"
"703.89","62","1","3583.67","46","Debit","San Antonio","Online"
"1271.9","155","1","2120.8","47","Debit","Houston","ATM"
"26.55","228","1","3085.38","77","Debit","Houston","ATM"
"147.4","259","1","6797.71","42","Debit","San Jose","Branch"
"202.11","18","1","746.47","27","Debit","Memphis","ATM"
"308.42","39","1","5427.81","75","Debit","Nashville","Branch"
"11.18","144","1","7467.3","53","Debit","Miami","ATM"
"294.15","136","1","6362.16","38","Debit","Fresno","Online"
"29.58","121","1","8345.26","54","Debit","Colorado Springs","Branch"
"139.45","31","1","1305.76","27","Debit","Boston","Online"
"432.63","137","1","13648.36","29","Debit","Colorado Springs","ATM"
"131.43","65","1","1337.5","43","Debit","Charlotte","Online"
"516.72","128","1","2015.69","42","Debit","Mesa","ATM"
"121.82","123","3","8354.54","69","Debit","Colorado Springs","Online"
"374.5","178","1","1671.51","26","Credit","San Francisco","Branch"
"166.13","227","1","11822.53","68","Debit","Omaha","ATM"
"626.9","146","1","587.11","23","Debit","Chicago","ATM"
"466.85","165","1","5422.53","56","Debit","Austin","Branch"
"788.84","231","1","1913.73","58","Debit","Phoenix","Online"
"873.65","59","1","12139.83","37","Credit","Oklahoma City","Online"
"525.28","134","1","4693.6","69","Debit","Colorado Springs","ATM"
"110.17","137","1","464.2","30","Debit","Raleigh","ATM"
"632.69","76","1","4363.74","80","Debit","Denver","ATM"
"124.35","90","1","3319.76","72","Debit","Oklahoma City","ATM"
"43.85","122","1","4356.98","62","Debit","Fresno","ATM"
"283.81","29","1","1519.35","28","Debit","San Diego","Branch"
"168.53","112","1","5962.58","71","Debit","San Francisco","ATM"
"218.59","123","1","6699.23","40","Credit","Denver","Branch"
"132.84","143","1","822.73","21","Debit","Oklahoma City","ATM"
"157.37","289","1","13964.31","42","Credit","Dallas","Branch"
"144.77","159","1","867.32","20","Debit","Albuquerque","Online"
"643.22","93","1","1035.86","64","Debit","Atlanta","ATM"
"1392.54","297","1","13347.69","41","Debit","El Paso","Branch"
"208.07","36","1","8478.9","32","Debit","Oklahoma City","Online"
"94.3","57","1","11088.95","57","Debit","Phoenix","Branch"
"295.5","36","1","6280.66","59","Debit","Mesa","ATM"
"30.23","99","1","481.13","44","Debit","Austin","ATM"
"112.05","159","1","1122.88","26","Credit","Phoenix","ATM"
"180.24","144","1","8431.23","58","Debit","Phoenix","Branch"
"13.71","148","1","8342.79","38","Credit","Denver","Online"
"96.54","95","1","7182.22","58","Debit","New York","Branch"
"79.35","70","1","1692.15","67","Debit","Los Angeles","Online"
"101.04","160","1","1695.57","27","Debit","San Antonio","ATM"
"74.42","68","1","6264.21","49","Debit","El Paso","Online"
"39.66","169","1","8497.34","52","Debit","Virginia Beach","Branch"
"99.36","46","1","1272.12","40","Debit","Seattle","ATM"
"123.85","244","1","3959.62","56","Debit","Las Vegas","Online"
"426.93","248","1","476.19","19","Debit","Omaha","ATM"
"133.73","123","1","1872.22","25","Credit","San Jose","Online"
"222.39","73","1","3117.39","49","Debit","Virginia Beach","Online"
"215.94","140","1","1841.69","22","Credit","Virginia Beach","Online"
"6.3","283","5","7697.68","80","Debit","Columbus","Branch"
"826.23","209","1","7580.59","29","Debit","Colorado Springs","ATM"
"416.37","67","1","7936.91","35","Debit","Columbus","Online"
"131.46","258","1","6642.33","67","Debit","Charlotte","Branch"
"202.86","149","1","7642.25","61","Credit","Memphis","Branch"
"268.39","171","1","136.74","26","Debit","Miami","ATM"
"194.85","130","4","319.84","23","Debit","Jacksonville","Online"
"137.35","220","1","12662.66","40","Credit","Sacramento","Online"
"712.75","25","1","8126.06","44","Debit","Philadelphia","Branch"
"353.82","143","1","705.75","42","Debit","Milwaukee","ATM"
"507.25","143","1","5331.57","73","Debit","Washington","Branch"
"212.74","128","1","7645.47","27","Debit","Seattle","Branch"
"364.42","146","1","8119.73","51","Debit","Colorado Springs","ATM"
"195.12","144","1","6101.15","46","Debit","Louisville","ATM"
"230.61","204","1","2561.42","80","Debit","Raleigh","Branch"
"739.28","47","1","11905.64","58","Credit","Tucson","Branch"
"390.35","61","1","7095.88","64","Credit","Omaha","ATM"
"242.03","124","1","4382.73","58","Debit","Dallas","Online"
"242.39","271","1","1328.73","18","Credit","San Antonio","ATM"
"135.03","180","1","1278.0","23","Debit","San Francisco","ATM"
"83.5","91","5","1749.79","61","Debit","Dallas","Branch"
"193.54","267","1","2929.51","80","Debit","Oklahoma City","Branch"
"617.36","61","1","8926.38","29","Debit","Kansas City","Branch"
"775.23","38","1","5977.59","59","Credit","Albuquerque","Online"
"266.57","100","1","7676.92","72","Debit","El Paso","ATM"
"153.4","144","1","4657.7","45","Debit","Mesa","ATM"
"946.94","251","1","5579.11","53","Debit","Charlotte","Branch"
"5.12","90","1","3293.01","34","Debit","New York","Branch"
"119.11","131","1","7998.25","57","Debit","Detroit","ATM"
"1096.7","147","1","1093.89","24","Debit","Colorado Springs","Online"
"119.72","123","1","3435.34","30","Debit","Tucson","Branch"
"107.4","32","1","344.07","58","Debit","Virginia Beach","Online"
"115.92","57","1","3897.17","53","Debit","Raleigh","ATM"
"438.04","247","1","5358.95","67","Debit","Philadelphia","ATM"
"677.29","287","1","627.79","27","Debit","Houston","Online"
"296.0","248","1","7418.82","35","Debit","Las Vegas","Branch"
"299.09","84","1","5615.26","36","Credit","Boston","Branch"
"461.52","44","1","1995.18","24","Credit","Denver","Branch"
"100.52","110","1","453.39","50","Debit","Las Vegas","ATM"
"85.35","166","1","2173.76","66","Debit","Washington","ATM"
"79.76","170","1","6452.14","39","Debit","Raleigh","Branch"
"778.49","107","1","7713.67","75","Credit","Omaha","Online"
"386.38","135","1","5528.36","42","Debit","Phoenix","Online"
"165.25","106","1","9939.94","35","Debit","Sacramento","Online"
"14.29","150","1","7016.99","34","Debit","Los Angeles","ATM"
"232.79","145","1","2661.3","55","Credit","Indianapolis","Branch"
"1237.56","159","1","9410.17","60","Credit","Austin","Branch"
"92.29","115","1","2026.32","54","Debit","Albuquerque","Branch"
"293.97","153","1","7371.85","68","Debit","Phoenix","Branch"
"136.32","113","1","264.83","19","Debit","Miami","Online"
"251.06","34","1","10001.66","36","Debit","Colorado Springs","Online"
"50.17","35","1","7752.14","77","Credit","Sacramento","ATM"
"21.4","258","1","9594.11","34","Debit","Fresno","Branch"
"73.28","21","1","1329.41","21","Debit","Boston","Branch"
"70.23","260","1","11624.93","38","Debit","Memphis","ATM"
"689.29","100","1","168.84","22","Debit","El Paso","ATM"
"745.03","231","1","160.57","28","Debit","Fort Worth","Online"
"54.61","160","1","7135.64","58","Debit","Milwaukee","ATM"
"54.05","146","1","469.14","27","Debit","Louisville","Branch"
"107.47","144","1","7517.5","67","Debit","Austin","Online"
"611.11","282","4","919.84","20","Debit","Detroit","ATM"
"219.63","44","1","8013.63","48","Debit","Charlotte","ATM"
"188.7","123","1","5077.06","54","Debit","New York","Branch"
"93.52","97","1","2791.2","51","Debit","Philadelphia","Online"
"275.92","107","1","1777.38","62","Credit","Nashville","Branch"
