"Customer_Type","Product","Category","Unit_Price","Quantity","Discount","Total_Price","Region"
"B2C","Augustiner","Alcoholic Beverages","1.09","12","0.0","13.08","Nordrhein-Westfalen"
"B2C","Monster","Soft Drinks","3.12","8","0.0","24.96","Nordrhein-Westfalen"
"B2C","Pepsi","Soft Drinks","1.49","2","0.0","2.98","Nordrhein-Westfalen"
"B2C","Volvic Touch","Water","1.38","1","0.0","1.38","Nordrhein-Westfalen"
"B2B","Sauvignon Blanc","Alcoholic Beverages","3.55","20","0.05","67.45","Hamburg"
"B2B","Tomato Juice","Juices","2.25","53","0.1","107.32","Hamburg"
"B2C","Club Mate","Soft Drinks","2.26","15","0.0","33.9","Hessen"
"B2C","Monster","Soft Drinks","3.31","3","0.0","9.93","Hessen"
"B2B","Fritz-Kola","Soft Drinks","2.33","23","0.05","50.91","Nordrhein-Westfalen"
"B2B","San Pellegrino","Water","0.9","57","0.05","48.74","Nordrhein-Westfalen"
"B2B","Chardonnay","Alcoholic Beverages","7.01","61","0.1","384.85","Nordrhein-Westfalen"
"B2B","Pepsi","Soft Drinks","0.8","15","0.05","11.4","Nordrhein-Westfalen"
"B2B","Hohes C Orange","Juices","1.5","10","0.05","14.25","Nordrhein-Westfalen"
"B2B","Monster","Soft Drinks","2.43","56","0.05","129.28","Nordrhein-Westfalen"
"B2B","Augustiner","Alcoholic Beverages","2.52","92","0.1","208.66","Sachsen-Anhalt"
"B2B","Merlot","Alcoholic Beverages","6.03","32","0.05","183.31","ThÃ¼ringen"
"B2B","KÃ¶lsch","Alcoholic Beverages","1.78","69","0.1","110.54","ThÃ¼ringen"
"B2B","Cranberry Juice","Juices","2.27","57","0.1","116.45","ThÃ¼ringen"
"B2B","Volvic","Water","0.57","48","0.1","24.62","Hamburg"
"B2B","Mountain Dew","Soft Drinks","0.85","37","0.05","29.88","Hamburg"
"B2B","Mango Juice","Juices","2.59","22","0.05","54.13","Hamburg"
"B2B","Evian","Water","1.56","65","0.1","91.26","Hamburg"
"B2C","Erdinger WeiÃŸbier","Alcoholic Beverages","2.04","4","0.0","8.16","Bayern"
"B2C","Bacardi","Alcoholic Beverages","14.26","9","0.0","128.34","Bayern"
"B2B","Warsteiner","Alcoholic Beverages","1.57","70","0.1","98.91","Niedersachsen"
"B2B","Rauch Multivitamin","Juices","2.74","44","0.05","114.53","Niedersachsen"
"B2B","MoÃ«t & Chandon","Alcoholic Beverages","31.66","34","0.05","1022.62","Niedersachsen"
"B2C","KÃ¶lsch","Alcoholic Beverages","0.99","14","0.0","13.86","Nordrhein-Westfalen"
"B2C","Tomato Juice","Juices","3.43","13","0.0","44.59","Nordrhein-Westfalen"
"B2C","Riesling","Alcoholic Beverages","4.32","7","0.0","30.24","Nordrhein-Westfalen"
"B2C","Cranberry Juice","Juices","3.67","13","0.0","47.71","Baden-WÃ¼rttemberg"
"B2C","Hohes C Orange","Juices","1.86","11","0.0","20.46","Baden-WÃ¼rttemberg"
"B2C","MoÃ«t & Chandon","Alcoholic Beverages","72.7","4","0.0","290.8","Baden-WÃ¼rttemberg"
"B2C","Evian","Water","1.31","13","0.0","17.03","Baden-WÃ¼rttemberg"
"B2B","Riesling","Alcoholic Beverages","7.46","17","0.1","114.14","Mecklenburg-Vorpommern"
"B2C","Tomato Juice","Juices","3.23","12","0.0","38.76","ThÃ¼ringen"
"B2C","Jever","Alcoholic Beverages","1.88","15","0.0","28.2","ThÃ¼ringen"
"B2C","Apollinaris","Water","0.93","12","0.0","11.16","ThÃ¼ringen"
"B2C","Rauch Multivitamin","Juices","2.31","3","0.0","6.93","ThÃ¼ringen"
"B2B","Hohes C Orange","Juices","3.24","93","0.1","271.19","Schleswig-Holstein"
"B2B","KÃ¶lsch","Alcoholic Beverages","0.9","16","0.05","13.68","Schleswig-Holstein"
"B2B","Sauvignon Blanc","Alcoholic Beverages","9.31","15","0.05","132.67","Schleswig-Holstein"
"B2B","Coca-Cola","Soft Drinks","0.68","44","0.1","26.93","Schleswig-Holstein"
"B2B","Red Bull","Soft Drinks","3.1","58","0.05","170.81","Schleswig-Holstein"
"B2C","Volvic","Water","0.57","1","0.0","0.57","Brandenburg"
"B2C","Granini Apple","Juices","1.64","8","0.0","13.12","Brandenburg"
"B2C","Evian","Water","1.26","12","0.0","15.12","Brandenburg"
"B2C","Hohes C Orange","Juices","1.8","6","0.0","10.8","Brandenburg"
"B2B","RotkÃ¤ppchen Sekt","Alcoholic Beverages","8.41","90","0.1","681.21","ThÃ¼ringen"
"B2B","Apollinaris","Water","1.04","48","0.05","47.42","ThÃ¼ringen"
"B2B","Passion Fruit Juice","Juices","4.14","71","0.1","264.55","Baden-WÃ¼rttemberg"
"B2B","Chardonnay","Alcoholic Beverages","5.06","31","0.05","149.02","Baden-WÃ¼rttemberg"
"B2C","Sprite","Soft Drinks","0.55","14","0.0","7.7","Brandenburg"
"B2C","Monster","Soft Drinks","3.21","7","0.0","22.47","Brandenburg"
"B2C","Red Bull","Soft Drinks","2.28","8","0.0","18.24","Brandenburg"
"B2C","Pepsi","Soft Drinks","1.74","3","0.0","5.22","Niedersachsen"
"B2C","Fritz-Kola","Soft Drinks","2.12","4","0.0","8.48","Niedersachsen"
"B2C","Volvic Touch","Water","1.46","2","0.0","2.92","Niedersachsen"
"B2C","Club Mate","Soft Drinks","2.26","4","0.0","9.04","Niedersachsen"
"B2C","Fanta","Soft Drinks","1.23","14","0.0","17.22","Niedersachsen"
"B2B","Hohes C Orange","Juices","2.1","38","0.1","71.82","Hessen"
"B2B","Schwip Schwap","Soft Drinks","1.31","95","0.1","112.01","Hessen"
"B2C","Merlot","Alcoholic Beverages","4.35","3","0.0","13.05","Bremen"
"B2C","Mountain Dew","Soft Drinks","0.96","9","0.0","8.64","Bremen"
"B2C","Beck's","Alcoholic Beverages","1.37","8","0.0","10.96","Bremen"
"B2C","Cranberry Juice","Juices","3.56","2","0.0","7.12","Bremen"
"B2C","Evian","Water","1.26","13","0.0","16.38","Bremen"
"B2C","Merlot","Alcoholic Beverages","4.35","4","0.0","17.4","Sachsen-Anhalt"
"B2C","Pepsi","Soft Drinks","1.53","3","0.0","4.59","Sachsen-Anhalt"
"B2C","Mountain Dew","Soft Drinks","0.96","1","0.0","0.96","Sachsen-Anhalt"
"B2C","Volvic","Water","0.57","6","0.0","3.42","Sachsen-Anhalt"
"B2B","Passion Fruit Juice","Juices","3.42","57","0.15","165.7","Saarland"
"B2B","Veuve Clicquot","Alcoholic Beverages","42.09","15","0.1","568.22","Saarland"
"B2B","Granini Apple","Juices","1.67","94","0.15","133.43","Saarland"
"B2B","Tomato Juice","Juices","3.04","43","0.1","117.65","Saarland"
"B2B","Fritz-Kola","Soft Drinks","1.97","36","0.05","67.37","Berlin"
"B2C","Passion Fruit Juice","Juices","2.93","1","0.0","2.93","Saarland"
"B2C","Mango Juice","Juices","3.12","13","0.0","40.56","Saarland"
"B2B","Tanqueray","Alcoholic Beverages","32.61","39","0.05","1208.2","Bayern"
"B2B","Coca-Cola","Soft Drinks","0.7","33","0.05","21.94","Bayern"
"B2B","Volvic","Water","0.75","88","0.15","56.1","Bayern"
"B2B","Krombacher","Alcoholic Beverages","1.21","2","0.05","2.3","Bayern"
"B2C","San Pellegrino","Water","0.89","2","0.0","1.78","Sachsen-Anhalt"
"B2C","Veuve Clicquot","Alcoholic Beverages","109.19","5","0.0","545.95","Sachsen-Anhalt"
"B2C","KÃ¶lsch","Alcoholic Beverages","0.96","15","0.0","14.4","Sachsen-Anhalt"
"B2C","Evian","Water","1.26","10","0.0","12.6","Berlin"
"B2C","Fritz-Kola","Soft Drinks","2.05","10","0.0","20.5","Berlin"
"B2C","Merlot","Alcoholic Beverages","4.35","14","0.0","60.9","Berlin"
"B2B","KÃ¶lsch","Alcoholic Beverages","2.26","70","0.15","134.47","Baden-WÃ¼rttemberg"
"B2B","Hohes C Orange","Juices","1.46","7","0.05","9.71","ThÃ¼ringen"
"B2B","Vio Wasser","Water","0.59","33","0.1","17.52","ThÃ¼ringen"
"B2B","Red Bull","Soft Drinks","2.34","50","0.05","111.15","ThÃ¼ringen"
"B2B","Gerolsteiner","Water","0.33","24","0.05","7.52","ThÃ¼ringen"
"B2B","Rauch Multivitamin","Juices","2.84","33","0.05","89.03","ThÃ¼ringen"
"B2B","Passion Fruit Juice","Juices","3.58","93","0.1","299.65","ThÃ¼ringen"
"B2B","Granini Apple","Juices","1.12","60","0.1","60.48","ThÃ¼ringen"
"B2B","Apollinaris","Water","0.68","34","0.05","21.96","ThÃ¼ringen"
"B2C","Passion Fruit Juice","Juices","3.11","1","0.0","3.11","Mecklenburg-Vorpommern"
"B2C","Mountain Dew","Soft Drinks","0.96","11","0.0","10.56","Sachsen-Anhalt"
"B2C","Apollinaris","Water","0.96","9","0.0","8.64","Sachsen-Anhalt"
"B2C","Hohes C Orange","Juices","1.86","11","0.0","20.46","Baden-WÃ¼rttemberg"
"B2C","Passion Fruit Juice","Juices","3.11","8","0.0","24.88","Baden-WÃ¼rttemberg"
"B2C","Schwip Schwap","Soft Drinks","1.27","14","0.0","17.78","Baden-WÃ¼rttemberg"
"B2C","Rauch Multivitamin","Juices","2.45","14","0.0","34.3","Baden-WÃ¼rttemberg"
"B2C","Johnnie Walker","Alcoholic Beverages","35.52","6","0.0","213.12","Berlin"
"B2B","Vio Wasser","Water","0.72","50","0.1","32.4","Brandenburg"
"B2B","Volvic Touch","Water","1.37","62","0.1","76.45","Brandenburg"
"B2B","RotkÃ¤ppchen Sekt","Alcoholic Beverages","5.0","39","0.05","185.25","Brandenburg"
"B2C","Tanqueray","Alcoholic Beverages","35.65","10","0.0","356.5","Niedersachsen"
"B2C","Sprite","Soft Drinks","0.53","10","0.0","5.3","Berlin"
"B2C","Johnnie Walker","Alcoholic Beverages","35.52","3","0.0","106.56","Berlin"
"B2C","Vittel","Water","0.62","12","0.0","7.44","Berlin"
"B2C","Rauch Multivitamin","Juices","2.31","9","0.0","20.79","Berlin"
"B2C","Fritz-Kola","Soft Drinks","1.99","15","0.0","29.85","Berlin"
"B2C","Schwip Schwap","Soft Drinks","1.24","7","0.0","8.68","Sachsen-Anhalt"
"B2C","Apollinaris","Water","0.96","4","0.0","3.84","Sachsen-Anhalt"
"B2C","Mezzo Mix","Soft Drinks","0.61","1","0.0","0.61","Rheinland-Pfalz"
"B2B","Mango Juice","Juices","3.64","93","0.1","304.67","Baden-WÃ¼rttemberg"
"B2B","Monster","Soft Drinks","3.46","67","0.05","220.23","Baden-WÃ¼rttemberg"
"B2C","Jever","Alcoholic Beverages","1.99","11","0.0","21.89","Brandenburg"
"B2C","Rauch Multivitamin","Juices","2.45","15","0.0","36.75","Brandenburg"
"B2C","Vittel","Water","0.59","11","0.0","6.49","Brandenburg"
"B2C","Red Bull","Soft Drinks","2.35","1","0.0","2.35","Brandenburg"
"B2C","Club Mate","Soft Drinks","2.26","2","0.0","4.52","Brandenburg"
"B2B","Mango Juice","Juices","2.62","32","0.05","79.65","Rheinland-Pfalz"
"B2B","Rockstar","Soft Drinks","3.19","80","0.05","242.44","Rheinland-Pfalz"
"B2B","Havana Club","Alcoholic Beverages","18.16","17","0.1","277.85","Rheinland-Pfalz"
"B2B","Krombacher","Alcoholic Beverages","1.11","69","0.1","68.93","Rheinland-Pfalz"
"B2B","Warsteiner","Alcoholic Beverages","1.7","77","0.15","111.26","Rheinland-Pfalz"
"B2C","Selters","Water","0.49","5","0.0","2.45","Bremen"
"B2C","Vio Wasser","Water","1.71","11","0.0","18.81","Bremen"
"B2C","Evian","Water","1.31","8","0.0","10.48","Bremen"
"B2C","Riesling","Alcoholic Beverages","4.32","13","0.0","56.16","Bremen"
"B2C","San Pellegrino","Water","0.91","1","0.0","0.91","Bremen"
"B2C","Hohes C Orange","Juices","1.86","2","0.0","3.72","ThÃ¼ringen"
"B2C","Mango Juice","Juices","3.31","10","0.0","33.1","ThÃ¼ringen"
"B2C","Johnnie Walker","Alcoholic Beverages","37.69","3","0.0","113.07","ThÃ¼ringen"
"B2C","Granini Apple","Juices","1.59","6","0.0","9.54","ThÃ¼ringen"
"B2C","Passion Fruit Juice","Juices","2.93","2","0.0","5.86","ThÃ¼ringen"
"B2C","Vio Wasser","Water","1.61","9","0.0","14.49","ThÃ¼ringen"
"B2C","Tomato Juice","Juices","3.23","5","0.0","16.15","ThÃ¼ringen"
"B2C","Vittel","Water","0.56","6","0.0","3.36","Bremen"
"B2C","Beck's","Alcoholic Beverages","1.33","12","0.0","15.96","Bremen"
"B2C","Mountain Dew","Soft Drinks","0.93","1","0.0","0.93","Bremen"
"B2C","Warsteiner","Alcoholic Beverages","1.02","4","0.0","4.08","Bremen"
"B2C","Evian","Water","1.23","13","0.0","15.99","Bremen"
"B2C","Augustiner","Alcoholic Beverages","1.09","6","0.0","6.54","Bayern"
"B2C","Hohes C Orange","Juices","1.75","4","0.0","7.0","Bayern"
"B2C","MoÃ«t & Chandon","Alcoholic Beverages","57.11","7","0.0","399.77","Bayern"
"B2B","RotkÃ¤ppchen Sekt","Alcoholic Beverages","3.54","43","0.1","137.0","Hamburg"
"B2B","Mango Juice","Juices","3.65","94","0.15","291.64","Hamburg"
"B2B","Red Bull","Soft Drinks","2.59","35","0.1","81.58","Hamburg"
"B2B","Fritz-Kola","Soft Drinks","2.66","81","0.1","193.91","Hamburg"
"B2C","Fritz-Kola","Soft Drinks","2.12","2","0.0","4.24","Sachsen"
"B2C","Erdinger WeiÃŸbier","Alcoholic Beverages","2.04","14","0.0","28.56","Sachsen"
"B2B","San Pellegrino","Water","1.02","38","0.15","32.95","Bayern"
"B2C","Vittel","Water","0.59","12","0.0","7.08","Bayern"
"B2C","Selters","Water","0.49","4","0.0","1.96","Bayern"
"B2C","Cranberry Juice","Juices","3.67","4","0.0","14.68","Bayern"
"B2C","Club Mate","Soft Drinks","2.19","13","0.0","28.47","Niedersachsen"
"B2C","Hohes C Orange","Juices","1.8","10","0.0","18.0","Niedersachsen"
"B2C","Pepsi","Soft Drinks","1.68","3","0.0","5.04","Niedersachsen"
"B2C","Red Bull","Soft Drinks","2.28","12","0.0","27.36","Niedersachsen"
"B2C","Hohes C Orange","Juices","1.75","4","0.0","7.0","Saarland"
"B2C","Mountain Dew","Soft Drinks","0.93","4","0.0","3.72","Saarland"
"B2C","Bacardi","Alcoholic Beverages","13.44","8","0.0","107.52","Saarland"
"B2C","Apollinaris","Water","0.93","6","0.0","5.58","Saarland"
"B2C","Sprite","Soft Drinks","0.53","12","0.0","6.36","Baden-WÃ¼rttemberg"
"B2C","Mango Juice","Juices","3.12","7","0.0","21.84","Baden-WÃ¼rttemberg"
"B2B","Vittel","Water","0.45","87","0.1","35.24","Hamburg"
"B2B","MoÃ«t & Chandon","Alcoholic Beverages","33.6","20","0.05","638.4","Hamburg"
"B2C","Bacardi","Alcoholic Beverages","14.26","3","0.0","42.78","Schleswig-Holstein"
"B2C","Fanta","Soft Drinks","1.23","12","0.0","14.76","Schleswig-Holstein"
"B2C","Mango Juice","Juices","3.31","12","0.0","39.72","Schleswig-Holstein"
"B2C","Cranberry Juice","Juices","3.46","5","0.0","17.3","Bremen"
"B2C","Mezzo Mix","Soft Drinks","0.59","11","0.0","6.49","Bremen"
"B2C","Schwip Schwap","Soft Drinks","1.2","8","0.0","9.6","Bremen"
"B2C","Rauch Multivitamin","Juices","2.31","15","0.0","34.65","Bremen"
"B2C","San Pellegrino","Water","0.86","8","0.0","6.88","Bremen"
"B2C","KÃ¶lsch","Alcoholic Beverages","0.93","11","0.0","10.23","Saarland"
"B2C","Sauvignon Blanc","Alcoholic Beverages","8.57","2","0.0","17.14","Saarland"
"B2C","Mango Juice","Juices","3.12","5","0.0","15.6","Saarland"
"B2B","Schwip Schwap","Soft Drinks","0.54","11","0.05","5.64","Baden-WÃ¼rttemberg"
"B2B","Fritz-Kola","Soft Drinks","3.08","95","0.1","263.34","Baden-WÃ¼rttemberg"
"B2B","Vittel","Water","0.51","32","0.05","15.5","Baden-WÃ¼rttemberg"
"B2B","Evian","Water","1.31","86","0.1","101.39","Baden-WÃ¼rttemberg"
"B2B","Hohes C Orange","Juices","2.57","84","0.1","194.29","Baden-WÃ¼rttemberg"
"B2C","Rauch Multivitamin","Juices","2.38","11","0.0","26.18","Baden-WÃ¼rttemberg"
"B2B","Fritz-Kola","Soft Drinks","2.39","39","0.05","88.55","Hamburg"
"B2B","Cranberry Juice","Juices","2.79","43","0.05","113.97","Hamburg"
"B2B","San Pellegrino","Water","1.03","88","0.1","81.58","Hamburg"
"B2B","Granini Apple","Juices","1.36","49","0.1","59.98","Hamburg"
"B2B","Hohes C Orange","Juices","2.45","61","0.05","141.98","Hamburg"
"B2C","Bacardi","Alcoholic Beverages","14.26","4","0.0","57.04","Sachsen"
"B2C","Jever","Alcoholic Beverages","1.88","12","0.0","22.56","Hessen"
"B2C","Schwip Schwap","Soft Drinks","1.24","12","0.0","14.88","Bremen"
"B2C","Coca-Cola","Soft Drinks","1.18","7","0.0","8.26","Bremen"
"B2C","Merlot","Alcoholic Beverages","4.35","13","0.0","56.55","Bremen"
"B2C","Tanqueray","Alcoholic Beverages","34.61","3","0.0","103.83","Mecklenburg-Vorpommern"
"B2C","Rauch Multivitamin","Juices","2.38","12","0.0","28.56","Mecklenburg-Vorpommern"
"B2C","Mango Juice","Juices","3.21","10","0.0","32.1","Mecklenburg-Vorpommern"
"B2C","Rockstar","Soft Drinks","2.27","6","0.0","13.62","Mecklenburg-Vorpommern"
"B2C","Sauvignon Blanc","Alcoholic Beverages","8.83","13","0.0","114.79","Niedersachsen"
"B2C","Veuve Clicquot","Alcoholic Beverages","109.19","3","0.0","327.57","Niedersachsen"
"B2B","Passion Fruit Juice","Juices","2.4","66","0.05","150.48","ThÃ¼ringen"
"B2B","Tanqueray","Alcoholic Beverages","32.93","34","0.05","1063.64","ThÃ¼ringen"
"B2B","Rauch Multivitamin","Juices","2.91","65","0.05","179.69","ThÃ¼ringen"
"B2C","Club Mate","Soft Drinks","2.26","2","0.0","4.52","Nordrhein-Westfalen"
"B2C","Rauch Multivitamin","Juices","2.45","14","0.0","34.3","Nordrhein-Westfalen"
"B2C","Passion Fruit Juice","Juices","3.11","6","0.0","18.66","Nordrhein-Westfalen"
"B2B","Fritz-Kola","Soft Drinks","2.75","90","0.15","210.38","Niedersachsen"
"B2B","Hohes C Orange","Juices","1.36","86","0.1","105.26","Niedersachsen"
"B2B","Jever","Alcoholic Beverages","1.53","64","0.1","88.13","Schleswig-Holstein"
"B2B","Apollinaris","Water","1.32","62","0.05","77.75","Schleswig-Holstein"
"B2C","Johnnie Walker","Alcoholic Beverages","35.52","14","0.0","497.28","Rheinland-Pfalz"
"B2C","Club Mate","Soft Drinks","2.13","5","0.0","10.65","Rheinland-Pfalz"
"B2C","Pepsi","Soft Drinks","1.49","4","0.0","5.96","Rheinland-Pfalz"
"B2C","San Pellegrino","Water","0.91","3","0.0","2.73","Sachsen-Anhalt"
"B2C","Selters","Water","0.49","7","0.0","3.43","Sachsen-Anhalt"
"B2C","Merlot","Alcoholic Beverages","4.48","9","0.0","40.32","Sachsen-Anhalt"
"B2C","Vittel","Water","0.65","2","0.0","1.3","Sachsen-Anhalt"
"B2B","Schwip Schwap","Soft Drinks","0.85","69","0.05","55.72","Schleswig-Holstein"
"B2B","Mango Juice","Juices","3.55","71","0.05","239.45","Schleswig-Holstein"
"B2C","Pepsi","Soft Drinks","1.58","8","0.0","12.64","Bayern"
"B2C","Coca-Cola","Soft Drinks","1.1","5","0.0","5.5","Hessen"
"B2C","Beck's","Alcoholic Beverages","1.41","1","0.0","1.41","Hessen"
"B2C","RotkÃ¤ppchen Sekt","Alcoholic Beverages","8.29","15","0.0","124.35","Hamburg"
"B2C","Riesling","Alcoholic Beverages","4.19","14","0.0","58.66","Hamburg"
"B2C","Selters","Water","0.47","1","0.0","0.47","Hamburg"
"B2C","Volvic","Water","0.57","9","0.0","5.13","Hamburg"
"B2C","Veuve Clicquot","Alcoholic Beverages","112.46","5","0.0","562.3","Sachsen-Anhalt"
"B2C","Jack Daniels","Alcoholic Beverages","51.76","2","0.0","103.52","Sachsen-Anhalt"
"B2B","Mountain Dew","Soft Drinks","0.67","43","0.05","27.37","Saarland"
"B2B","Monster","Soft Drinks","3.54","46","0.05","154.7","Saarland"
"B2B","Bacardi","Alcoholic Beverages","16.51","49","0.05","768.54","Saarland"
"B2B","Granini Apple","Juices","2.64","92","0.1","218.59","Saarland"
"B2B","Fritz-Kola","Soft Drinks","2.76","53","0.1","131.65","Brandenburg"
"B2C","Johnnie Walker","Alcoholic Beverages","36.59","12","0.0","439.08","Baden-WÃ¼rttemberg"
"B2C","Pepsi","Soft Drinks","1.53","10","0.0","15.3","Baden-WÃ¼rttemberg"
"B2C","Rauch Multivitamin","Juices","2.38","13","0.0","30.94","Baden-WÃ¼rttemberg"
"B2C","Mountain Dew","Soft Drinks","0.96","7","0.0","6.72","Baden-WÃ¼rttemberg"
"B2C","Mountain Dew","Soft Drinks","0.96","13","0.0","12.48","Niedersachsen"
"B2C","RotkÃ¤ppchen Sekt","Alcoholic Beverages","8.29","14","0.0","116.06","Niedersachsen"
"B2C","Hohes C Orange","Juices","1.8","2","0.0","3.6","Niedersachsen"
"B2B","Evian","Water","1.06","5","0.05","5.04","Niedersachsen"
"B2C","Club Mate","Soft Drinks","2.13","2","0.0","4.26","Schleswig-Holstein"
"B2B","Merlot","Alcoholic Beverages","5.81","6","0.05","33.12","Niedersachsen"
"B2B","Warsteiner","Alcoholic Beverages","1.78","87","0.1","139.37","Niedersachsen"
"B2C","Fritz-Kola","Soft Drinks","1.99","15","0.0","29.85","Baden-WÃ¼rttemberg"
